album_id,title,artist,release_year,cover_image_url,streaming_link_spotify,streaming_link_apple,artist_summary,album_summary,label_name,cover_artists,calendar_order,apple_link_is_substitute,spotify_link_is_substitute,image_filename
537d957c-d02a-4c7e-94d9-49043021f635,The Soul Of Jazz,Various Artists,1975,https://is1-ssl.mzstatic.com/image/thumb/Music20/v4/f3/a0/e7/f3a0e72a-9bce-5d6c-cdbf-ae489d21e0f0/mzm.foxcqowj.jpg/600x600bb.jpg,https://open.spotify.com/album/3t3BbpFJiGcXl4jI5CRLLA,https://music.apple.com/us/album/the-soul-of-jazz/1035574259?uo=4,"""Various Artists"" is not a jazz musician but a common placeholder on compilations aggregating tracks by multiple performers, from <a href=""https://en.wikipedia.org/wiki/Herbie_Hancock"">Herbie Hancock</a>'s fusion hits to <a href=""https://en.wikipedia.org/wiki/Sun_Ra"">Sun Ra</a>'s avant-garde experiments and <a href=""https://en.wikipedia.org/wiki/Sonny_Rollins"">Sonny Rollins</a>' bebop masterpieces. This credit style highlights jazz's collaborative essence, spanning ragtime to free jazz, without a singular background or style, underscoring the genre's diverse historical significance.","""The Soul of Jazz,"" a 1975 compilation by Various Artists, blends soulful jazz with classic vibes, featuring tracks like ""You Gotta Be Good A Man,"" ""Each Side Of The River,"" and ""Where You Gonna Run."" Showcasing talents such as <a href=""https://en.wikipedia.org/wiki/Bill_Harris_(musician)"">Bill Harris</a>, <a href=""https://en.wikipedia.org/wiki/Joe_Wilder"">Joe Wilder</a>, and <a href=""https://en.wikipedia.org/wiki/Eddie_Costa"">Eddie Costa</a>, it captures the era's recording spirit on vintage vinyl. This gem matters for preserving soul-jazz's emotive fusion in the canon.",Blue Note Records,Cover Artists Unknown,1,false,true,IMG_7093.png
b1eb5b16-30c9-46e5-9d94-dad53db7813c,The Best Of Garner,Erroll Garner,1963,https://is1-ssl.mzstatic.com/image/thumb/Music/58/20/9b/mzi.dgafsgaw.jpg/600x600bb.jpg,https://open.spotify.com/album/3DRo7NiVnTCkgFsqRhkEUp,https://music.apple.com/us/album/the-essence-of-errol-garner/190114850?uo=4,"<a href=""https://en.wikipedia.org/wiki/Erroll_Garner"">Erroll Garner</a>, born in 1921 in Pittsburgh's Hill District to a musical family, was a self-taught jazz pianist who played professionally from age seven, performing on radio and riverboats despite never reading music. Renowned for his swing-infused style, rhythmic independence between hands, and lush ballads, he composed the standard ""<a href=""https://en.wikipedia.org/wiki/Misty_(song)"">Misty</a>"" and released the blockbuster ""<a href=""https://en.wikipedia.org/wiki/Concert_by_the_Sea"">Concert by the Sea</a>,"" cementing his legacy as a jazz giant until his 1977 death.","<a href=""https://en.wikipedia.org/wiki/Erroll_Garner"">Erroll Garner</a>'s 1963 compilation <a href=""https://en.wikipedia.org/wiki/Erroll_Garner_discography"">The Best of Garner</a> showcases his signature swing style, blending stride, lush ballads, and bop-infused rhythms with whimsical introductions and hand independence. Drawn from trio sessions on <a href=""https://en.wikipedia.org/wiki/Verve_Records"">Verve Records</a>, key tracks like ""<a href=""https://en.wikipedia.org/wiki/Misty_(song)"">Misty</a>"" highlight his orchestral piano approach. It endures in the jazz canon for capturing his joyful, innovative mastery of standards.",Mercury,George Roth (Illustration),2,false,true,IMG_7094.png
b115f187-77c8-4554-bd0c-2718c96ae1cd,Sunny Side Up,Wilbert Longmire,1978,null,null,null,"<a href=""https://en.wikipedia.org/wiki/Wilbert_Longmire"">Wilbert Longmire</a>, born in <a href=""https://en.wikipedia.org/wiki/Mobile,_Alabama"">Mobile, Alabama</a> in 1940 and raised in <a href=""https://en.wikipedia.org/wiki/Cincinnati"">Cincinnati</a>, began on violin before mastering guitar in Motown-style bands like <a href=""https://en.wikipedia.org/wiki/The_Students_(band)"">The Students</a>. He gigged with <a href=""https://en.wikipedia.org/wiki/Hank_Marr"">Hank Marr</a>, <a href=""https://en.wikipedia.org/wiki/Trudy_Pitts"">Trudy Pitts</a>, <a href=""https://en.wikipedia.org/wiki/Jean-Luc_Ponty"">Jean-Luc Ponty</a>, and <a href=""https://en.wikipedia.org/wiki/Gerald_Wilson"">Gerald Wilson</a>, blending soul jazz, fusion, blues, and gospel. <a href=""https://en.wikipedia.org/wiki/George_Benson"">George Benson</a> secured his <a href=""https://en.wikipedia.org/wiki/Tappan_Zee_Records"">Tappan Zee</a> deal with <a href=""https://en.wikipedia.org/wiki/Bob_James_(musician)"">Bob James</a>, yielding charting albums like <i>Champagne</i> and <i>With All My Love</i>. A Cincinnati mentor, he died in 2018.","<a href=""https://en.wikipedia.org/wiki/Wilbert_Longmire"">Wilbert Longmire</a>'s 1978 debut on <a href=""https://en.wikipedia.org/wiki/Tappan_Zee_Records"">Tappan Zee Records</a>, <i>Sunny Side Up</i>, blends smooth jazz and jazz-funk with stellar session stars like <a href=""https://en.wikipedia.org/wiki/Bob_James_(musician)"">Bob James</a> on keys, <a href=""https://en.wikipedia.org/wiki/Harvey_Mason"">Harvey Mason</a> on drums, <a href=""https://en.wikipedia.org/wiki/Eric_Gale"">Eric Gale</a>, and <a href=""https://en.wikipedia.org/wiki/Cornell_Dupree"">Cornell Dupree</a> on guitar. Produced by James, it spotlights Longmire's fusion mastery. Key tracks include ""Black is the Color."" It launched his charting Tappan Zee era, bridging soul jazz and funk in the canon.",Tappan Zee Records,"John Berg, Paula Scher (Design), Buddy Endress (Photo)",3,false,false,IMG_7095.png
82830175-6170-43cf-9bb5-8d9dc76506c9,The Inner Mounting,The Mahavishnu Orchestra With John McLaughlin,1971,https://is1-ssl.mzstatic.com/image/thumb/Music7/v4/d9/32/c1/d932c164-9f19-b3e9-c1cb-b017783b74a4/dj.blxgjyql.jpg/600x600bb.jpg,https://open.spotify.com/album/0chWLemqlI6G1GOEr1q1bz,https://music.apple.com/us/album/the-inner-mounting-flame-with-john-mclaughlin/511075517?uo=4,"Formed in 1971 by English guitarist <a href=""https://en.wikipedia.org/wiki/John_McLaughlin_(musician)"">John McLaughlin</a> in New York after stints with <a href=""https://en.wikipedia.org/wiki/Miles_Davis"">Miles Davis</a> and <a href=""https://en.wikipedia.org/wiki/Tony_Williams_Lifetime"">Tony Williams Lifetime</a>, the <a href=""https://en.wikipedia.org/wiki/Mahavishnu_Orchestra"">Mahavishnu Orchestra</a> blended ferocious jazz fusion with rock energy. Featuring <a href=""https://en.wikipedia.org/wiki/Billy_Cobham"">Billy Cobham</a> on drums, <a href=""https://en.wikipedia.org/wiki/Rick_Laird"">Rick Laird</a> on bass, <a href=""https://en.wikipedia.org/wiki/Jan_Hammer"">Jan Hammer</a> on keys, and <a href=""https://en.wikipedia.org/wiki/Jerry_Goodman"">Jerry Goodman</a> on violin, their style showcased McLaughlin's double-neck guitar in high-volume, modal explosions on albums like <a href=""https://en.wikipedia.org/wiki/The_Inner_Mounting_Flame"">The Inner Mounting Flame</a>. Pioneers of the genre, they redefined jazz's boundaries.","<a href=""https://en.wikipedia.org/wiki/The_Inner_Mounting_Flame"">The Inner Mounting Flame</a> features all original compositions by <a href=""https://en.wikipedia.org/wiki/John_McLaughlin_(musician)"">McLaughlin</a>, recorded in August 1971 with <a href=""https://en.wikipedia.org/wiki/Billy_Cobham"">Cobham's</a> intense drumming anchoring pieces like ""Meeting of the Spirits"" and ""Awakening."" The quintet's classically-inspired fusion sparked a generation of guitarists to explore their instrument's depths, establishing the group as jazz-rock pioneers.",CBS,"Ron Coro (Design), Anthony Hixon (Photo)",4,false,false,IMG_7538.png
714e69e7-fcf6-413f-bb8d-5b6ea43fb864,Soundin' Off,Dizzy Reece,1960,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/32/c2/d7/32c2d72d-c4f5-ad73-9e35-afec859e4624/00602567487319.rgb.jpg/600x600bb.jpg,https://open.spotify.com/album/7sUzzOrVQxhE4AM0N2zHrk,https://music.apple.com/us/album/soundin-off/1356726197?uo=4,"<a href=""https://en.wikipedia.org/wiki/Dizzy_Reece"">Dizzy Reece</a>, born Alphonso Son Reece in Kingston, Jamaica, in 1931, trained at <a href=""https://en.wikipedia.org/wiki/Alpha_Boys_School"">Alpha Boys School</a> before moving to London in 1948 as part of the Windrush Generation. A bebop and hard bop trumpeter, he gigged in Europe with <a href=""https://en.wikipedia.org/wiki/Don_Byas"">Don Byas</a> and <a href=""https://en.wikipedia.org/wiki/Kenny_Clarke"">Kenny Clarke</a>, recorded classics like <i><a href=""https://en.wikipedia.org/wiki/Blues_in_Trinity"">Blues in Trinity</a></i> for <a href=""https://en.wikipedia.org/wiki/Blue_Note_Records"">Blue Note</a>, and settled in New York in 1959, earning praise from <a href=""https://en.wikipedia.org/wiki/Miles_Davis"">Miles Davis</a> despite later struggles.","<a href=""https://en.wikipedia.org/wiki/Soundin'_Off"">Soundin' Off</a>, <a href=""https://en.wikipedia.org/wiki/Dizzy_Reece"">Dizzy Reece</a>'s 1960 <a href=""https://en.wikipedia.org/wiki/Blue_Note_Records"">Blue Note</a> album, captures his hard bop trumpet in a intimate quartet with <a href=""https://en.wikipedia.org/wiki/Walter_Bishop_Jr."">Walter Bishop Jr.</a> on piano, <a href=""https://en.wikipedia.org/wiki/Doug_Watkins"">Doug Watkins</a> on bass, and <a href=""https://en.wikipedia.org/wiki/Art_Taylor"">Art Taylor</a> on drums, recorded at <a href=""https://en.wikipedia.org/wiki/Rudy_Van_Gelder"">Van Gelder Studio</a>. Highlights include the witty <a href=""https://en.wikipedia.org/wiki/Ecaroh"">""Eb Pob""</a>, tender <a href=""https://en.wikipedia.org/wiki/I_Fall_in_Love_Too_Easily"">""Ghost of a Chance""</a>, swinging <a href=""https://en.wikipedia.org/wiki/Yesterdays_(song)"">""Yesterdays""</a>, and originals like <a href=""https://en.wikipedia.org/wiki/Summertime_(George_Gershwin_song)"">""Blue Streak""</a>. It showcases Reece's expressive lyricism amid shifting U.S. jazz tides.",Blue Note,"Reid Miles (Design), Francis Wolff (Photo)",5,false,false,IMG_7539.png
700a4d79-bde4-440f-a02c-7ebf6894c811,Ebo Taylor And The Pelikans,Ebo Taylor,2015,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/69/ab/42/69ab426c-4bb3-1f5d-7893-5ab135c6eb50/cover.jpg/600x600bb.jpg,https://open.spotify.com/album/22bvA175fzieGtO0twsXji,https://music.apple.com/us/album/ebo-taylor-and-the-pelikans/1677281208?uo=4,"<a href=""https://en.wikipedia.org/wiki/Ebo_Taylor"">Ebo Taylor</a>, born Deroy Taylor in 1936 near <a href=""https://en.wikipedia.org/wiki/Cape_Coast"">Cape Coast</a>, Ghana, was a pioneering guitarist, composer, and bandleader who shaped <a href=""https://en.wikipedia.org/wiki/Highlife"">highlife</a> music from the 1950s with bands like the <a href=""https://en.wikipedia.org/wiki/Stargazers_Dance_Band"">Stargazers</a> and Broadway Dance Band. In London, he studied jazz alongside <a href=""https://en.wikipedia.org/wiki/Fela_Kuti"">Fela Kuti</a>, infusing his sound with influences from <a href=""https://en.wikipedia.org/wiki/Miles_Davis"">Miles Davis</a> and <a href=""https://en.wikipedia.org/wiki/Charlie_Parker"">Charlie Parker</a>. As producer for <a href=""https://en.wikipedia.org/wiki/Essiebons"">Essiebons</a> and artists like <a href=""https://en.wikipedia.org/wiki/Pat_Thomas_(musician)"">Pat Thomas</a> and <a href=""https://en.wikipedia.org/wiki/C._K._Mann"">C.K. Mann</a>, he blended highlife, <a href=""https://en.wikipedia.org/wiki/Afrobeat"">afrobeat</a>, jazz, and funk, gaining late global acclaim before his 2026 passing.","<a href=""https://en.wikipedia.org/wiki/Ebo_Taylor"">Ebo Taylor</a>'s rare 1976 album <a href=""https://en.wikipedia.org/wiki/Ebo_Taylor_%26_the_Pelikans"">Ebo Taylor and the Pelikans</a>, reissued in 2015, fuses highlife, afrobeat, funk, and jazz in pulsating Ghanaian grooves. Recorded with his nimble Pelikans ensemble, it showcases tight horns, rhythmic depth, and tracks like the raw, horn-driven ""Ohye Atar Gyan."" This sought-after gem elevates Taylor's legacy, bridging African sounds with global jazz fusion for enduring dance-floor impact.",Superfly Records,Kofi Lindsay (Design),6,false,false,IMG_7540.png
adb6edeb-6660-4249-bfa9-8ec750352a04,Jazz Carnival,Azymuth,1988,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/da/83/da/da83da88-8516-1e96-bde8-0006a686b3ce/cover.jpg/600x600bb.jpg,https://open.spotify.com/album/3h1IRXJ1oWYdaHa2Uwz3UC,https://music.apple.com/us/album/jazz-carnival-space-jazz-mix-global-communication-remix-ep/1481192549?uo=4,"<a href=""https://en.wikipedia.org/wiki/Azymuth"">Azymuth</a> is a Brazilian jazz-funk trio formed in 1973 by keyboardist <a href=""https://en.wikipedia.org/wiki/Jos%C3%A9_Roberto_Bertrami"">José Roberto Bertrami</a>, bassist <a href=""https://en.wikipedia.org/wiki/Alex_Malheiros"">Alex Malheiros</a>, and drummer <a href=""https://en.wikipedia.org/wiki/Ivan_Conti"">Ivan Conti</a>. They pioneered a modern fusion of jazz, funk, rock, and samba, achieving international success with their 1979 hit ""Jazz Carnival."" Their innovative electronic sound and prolific output established them as one of Brazil's most influential bands, influencing generations of musicians worldwide.","<a href=""https://en.wikipedia.org/wiki/Azymuth"">Azymuth</a>'s 1988 compilation <a href=""https://en.wikipedia.org/wiki/Jazz_Carnival_(album)"">Jazz Carnival: The Best Of</a>, issued on <a href=""https://en.wikipedia.org/wiki/Milestone_Records"">Milestone Records</a>, captures their signature fusion of **jazz-funk**, samba rhythms, and electronic grooves in a laid-back, thoughtful style. Key tracks like the iconic title hit showcase funky basslines and intricate keyboards. It matters for distilling their innovative sound, cementing their influence on global fusion jazz.",BGP Records,Graham Smith (Design),7,false,false,IMG_7541.png
610b3cd7-1ac5-4e72-9e4d-6fb423c4732d,"Blue Note, 2018",Chris Dave And The Drumhedz,2018,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/06/bc/35/06bc356c-7863-b433-e0f2-92d90e2976f3/00602557825633.rgb.jpg/600x600bb.jpg,https://open.spotify.com/album/3yQ7ZQtrxHAILNzLCPXIKP,https://music.apple.com/us/album/chris-dave-and-the-drumhedz/1442962527?uo=4,"<a href=""https://en.wikipedia.org/wiki/Chris_Dave"">Chris ""Daddy"" Dave</a>, Houston-born drummer, honed his virtuosic, syncopated style in church and under jazz influences like <a href=""https://en.wikipedia.org/wiki/Miles_Davis"">Miles Davis</a> and <a href=""https://en.wikipedia.org/wiki/John_Coltrane"">John Coltrane</a>, attending <a href=""https://en.wikipedia.org/wiki/High_School_for_the_Performing_and_Visual_Arts_(Houston)"">Houston's High School for the Performing and Visual Arts</a> before briefly studying at <a href=""https://en.wikipedia.org/wiki/Howard_University"">Howard University</a>. He joined <a href=""https://en.wikipedia.org/wiki/Mint_Condition"">Mint Condition</a>, later collaborating with <a href=""https://en.wikipedia.org/wiki/Robert_Glasper"">Robert Glasper Experiment</a>, and formed <a href=""https://en.wikipedia.org/wiki/Chris_Dave_and_the_Drumhedz"">Chris Dave and the Drumhedz</a> on <a href=""https://en.wikipedia.org/wiki/Blue_Note_Records"">Blue Note Records</a>, blending jazz, hip-hop, and R&B to redefine genre boundaries.","<a href=""https://en.wikipedia.org/wiki/Chris_Dave_and_the_Drumhedz"">Chris Dave and the Drumhedz</a>' self-titled 2018 <a href=""https://en.wikipedia.org/wiki/Blue_Note_Records"">Blue Note</a> debut fuses jazz, hip-hop, funk, soul, and gospel into a genre-defying groove machine, recorded at Kingsize Soundlabs in Los Angeles. Standouts like ""Atlanta, Texas"" showcase precise, syncopated compositions over relentless rhythms. It matters for redefining jazz boundaries with all-star session players, proving drums can lead a borderless sound revolution.",Blue Note,C. Barr (Illustration),8,true,true,IMG_7542.png
7a75653b-fd1a-40bf-8aef-09ff72177fdb,Source,Nubya Garcia,2020,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/01/0b/96/010b9654-4059-150f-8650-38f94faa62cf/20CRGIM21278.rgb.jpg/600x600bb.jpg,https://open.spotify.com/album/5iooBeTrG8wPKMgo7OAOX6,https://music.apple.com/us/album/source/1523554803?uo=4,"<a href=""https://en.wikipedia.org/wiki/Nubya_Garcia"">Nubya Garcia</a>, born in 1991 in London's Camden Town to <a href=""https://en.wikipedia.org/wiki/Guyanese_people"">Guyanese</a> and <a href=""https://en.wikipedia.org/wiki/Trinidad_and Tobago"">Trinidadian</a> parents, started saxophone at age 10, training with <a href=""https://en.wikipedia.org/wiki/Jean_Toussaint"">Jean Toussaint</a> and graduating from <a href=""https://en.wikipedia.org/wiki/Trinity_Laban"">Trinity Laban</a> in 2016. Her style fuses jazz with African, Caribbean, Latin, and electronic grooves, as in albums <a href=""https://en.wikipedia.org/wiki/Source_(Nubya_Garcia_album)"">Source</a> and <a href=""https://en.wikipedia.org/wiki/Odyssey_(Nubya_Garcia_album)"">Odyssey</a>. A leader of the vibrant UK jazz renaissance, she headlines global festivals and collaborates with <a href=""https://en.wikipedia.org/wiki/N%C3%A9rija"">N%C3%A9rija</a> and <a href=""https://en.wikipedia.org/wiki/Maisha_(band)"">Maisha</a>.","<a href=""https://en.wikipedia.org/wiki/Source_(Nubya_Garcia_album)"">Source</a>, Nubya Garcia's 2020 debut album on <a href=""https://en.wikipedia.org/wiki/Concord_Jazz"">Concord Jazz</a>, fuses spiritual jazz, Afro-Caribbean rhythms, dub, cumbia, and neo-soul with her powerhouse tenor sax. Recorded with regulars <a href=""https://en.wikipedia.org/wiki/Joe_Armon-Jones"">Joe Armon-Jones</a>, Daniel Casimir, and Sam Jones, plus guests like La Perla, key tracks include the epic opener ""<a href=""https://en.wikipedia.org/wiki/Source_(Nubya_Garcia_album)#Track_listing"">Source</a>,"" vibrant ""<a href=""https://en.wikipedia.org/wiki/Source_(Nubya_Garcia_album)#Track_listing"">La Cumbia Me Está Llamando</a>,"" and rootsy ""<a href=""https://en.wikipedia.org/wiki/Source_(Nubya_Garcia_album)#Track_listing"">Before Us: Demerara & Caura</a>."" It defines the bold UK jazz renaissance.",Concord Jazz,"Nubya Garcia (Design), Clairelaurâ (Photo)",9,false,false,IMG_7543.png
674fffee-330a-46ef-b137-e031d187d4fb,Yellow,Emma - Jean Thackray,2021,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/1e/e9/01/1ee901ba-f99a-cca6-79c5-afb26b611645/5056614700671.jpg/600x600bb.jpg,https://open.spotify.com/album/0JJaoV5WzQZVp71C6CkAJ5,https://music.apple.com/us/album/yellow-deluxe/1632643965?uo=4,"<a href=""https://en.wikipedia.org/wiki/Emma-Jean_Thackray"">Emma-Jean Thackray</a>, born in <a href=""https://en.wikipedia.org/wiki/Leeds"">Leeds</a> in 1989, grew up immersed in Yorkshire's brass band tradition, mastering cornet by 13 before discovering <a href=""https://en.wikipedia.org/wiki/Jazz"">jazz</a> via <a href=""https://en.wikipedia.org/wiki/Miles_Davis"">Miles Davis</a>. A multi-instrumentalist, composer, and producer, she blends jazz, funk, electronics, and hip-hop in acclaimed works like <i><a href=""https://en.wikipedia.org/wiki/Yellow_(Emma-Jean_Thackray_album)"">Yellow</a></i> (2021) and <i>Weirdo</i> (2025). Her innovative sound redefines contemporary jazz, fusing spiritual grooves with experimental energy.","<i><a href=""https://en.wikipedia.org/wiki/Yellow_(Emma-Jean_Thackray_album)"">Yellow</a></i> (2021), on <a href=""https://en.wikipedia.org/wiki/Movementt"">Movementt</a>, fuses spiritual jazz, cosmic funk, Afrobeat, and electronica, crafted by sampling and collaging her band's live sessions in her home studio. Standouts like mantra-driven ""<a href=""https://en.wikipedia.org/wiki/Mercury_(Emma-Jean_Thackray_song)"">Mercury</a>,"" ecstatic ""<a href=""https://en.wikipedia.org/wiki/Venus_(Emma-Jean_Thackray_song)"">Venus</a>,"" funky ""Green Funk,"" haunting ""<a href=""https://en.wikipedia.org/wiki/Spectre_(Emma-Jean_Thackray_song)"">Spectre</a>,"" and groovy ""Say Something"" deliver elemental joy and unity. This innovative debut redefines the London jazz scene with accessible, boundary-blurring brilliance.",Movementt,"Nazusk (Design), Magan Boyd (Illustration)",10,false,false,IMG_7544.png
